9cf4b1f27dc075f83a4dcff4349cc05e707a74ea31a69f2307da7fc8bf3c1165
salt a68721b131fe950b942af6aef2875cec
dig 1016095
dig 84405
dig 890865
open 890865
dig 756919
dig 56682
dig 244644
dig 244651
dig 244652
dig 244660
open 56682
dig 244642
dig 244635
dig 244637
dig 244645
dig 244646
dig 244649
dig 244629
open 244660
open 244652
open 244644
open 244645
open 244637
open 244629
open 244635
open 244642
open 244649
dig 34
dig 120
dig 113
dig 106
dig 99
dig 92
dig 85
dig 1046353
dig 78
dig 71
dig 507044
dig 923923
dig 64
dig 73
dig 82
dig 805542
dig 91
dig 100
dig 109
dig 118
dig 127
dig 805562
open 64
open 73
open 91
dig 805554
dig 169301
open 92
open 100
dig 169317
open 109
dig 805548
open 118
open 127
dig 805557
open 85
open 113
open 120
dig 805504
open 106
dig 169329
dig 169331
dig 169318
dig 699027
dig 699020
dig 244641
open 244641
dig 441208
dig 169299
dig 169298
dig 169306
dig 244648
dig 244656
dig 169308
dig 244666
dig 244624
dig 244618
dig 244616
dig 244615
dig 129
dig 138
dig 147
dig 156
dig 244667
dig 149
dig 141
dig 134
dig 244630
dig 163
dig 244631
dig 171
dig 179
dig 187
open 244615
open 244616
dig 192
dig 340068
dig 200
dig 208
dig 216
dig 604219
dig 224
dig 232
open 244624
dig 240
dig 248
open 244667
dig 107921
dig 241
dig 234
dig 227
open 244631
dig 220
dig 213
dig 206
open 244618
dig 199
dig 207
dig 215
dig 223
dig 784476
open 107921
open 244648
dig 231
dig 239
dig 247
open 244666
open 149
open 141
open 134
dig 502756
open 129
open 138
dig 502757
open 147
open 163
open 171
open 179
open 805557
dig 138520
dig 1041876
open 1041876
dig 138506
dig 138539
dig 805535
dig 138535
dig 138542
dig 617837
dig 122013
dig 122045
dig 617821
dig 340069
dig 1026061
open 1026061
dig 805564
dig 138546
dig 138496
dig 1013480
dig 821898
dig 1047061
dig 175899
dig 807179
dig 139186
dig 114674
dig 405424
dig 805541
dig 405409
dig 405414
dig 801589
dig 405398
open 801589
dig 805545
dig 476895
dig 805531
dig 405390
dig 400958
dig 745531
dig 745532
dig 745524
dig 745523
dig 745522
dig 114678
dig 405432
dig 890866
dig 139180
open 139180
dig 960172
open 960172
open 34
dig 139173
dig 139174
dig 139182
dig 18
dig 10
open 18
dig 784756
dig 878353
dig 788387
dig 788401
dig 788378
open 878353
open 232
dig 496484
dig 278372
dig 278366
dig 278309
dig 496470
open 278309
dig 784764
dig 832
dig 833
open 833
dig 399212
dig 399197
dig 399194
dig 399218
dig 399223
dig 834
dig 399171
dig 854517
open 854517
dig 264877
dig 835
dig 840
dig 393623
dig 393614
dig 393605
open 393614
dig 393612
dig 223238
dig 139188
dig 841
dig 842
dig 843
dig 836
dig 306650
dig 854484
dig 479027
dig 960163
dig 899868
dig 960180
dig 960149
dig 960155
dig 1033296
open 1033296
dig 279463
dig 393611
dig 264859
dig 264860
dig 264868
dig 306642
open 306642
dig 306655
open 306655
dig 306666
dig 306652
dig 878369
dig 878346
dig 393650
dig 878364
dig 878363
dig 49389
dig 107905
dig 107925
dig 871732
dig 107939
open 871732
dig 107953
dig 392721
dig 107955
dig 320682
dig 924262
dig 776741
dig 642339
dig 730986
dig 730968
dig 202821
dig 972921
dig 419108
dig 419080
dig 419100
dig 419075
dig 419111
open 419075
dig 260653
dig 972922
dig 419098
dig 419077
dig 638883
dig 419114
dig 419092
dig 202822
dig 614013
dig 638884
dig 614004
dig 419109
dig 419094
dig 362104
dig 301549
dig 301556
dig 301515
dig 301520
dig 301505
dig 625493
dig 301567
dig 776737
dig 1033288
dig 1048178
dig 1048186
dig 1048187
dig 854498
dig 854486
dig 669910
dig 854524
dig 854482
dig 485745
dig 854522
dig 854493
dig 1033312
dig 258739
dig 258713
dig 258732
open 258732
dig 258708
dig 258751
open 419111
dig 473177
dig 513340
open 513340
dig 960173
dig 960164
dig 960156
dig 932860
dig 960165
open 932860
dig 284843
dig 284814
dig 528109
open 528109
dig 76160
dig 296547
dig 426346
open 426346
dig 449838
dig 343923
dig 76978
dig 76985
dig 76930
dig 76934
dig 807780
open 807780
dig 380916
dig 380923
dig 380913
dig 238765
open 238765
dig 426337
dig 513293
dig 238756
dig 673388
dig 673357
dig 673382
dig 946404
dig 244695
open 244695
dig 244684
open 244684
dig 244706
dig 244704
open 244704
dig 244680
open 244680
dig 244728
dig 244721
dig 244775
dig 244747
dig 244779
open 244747
open 244779
dig 979615
dig 159716
dig 55330
dig 426360
dig 117053
open 117053
dig 258697
dig 117045
dig 55338
dig 426328
dig 426344
open 923923
dig 258720
dig 926024
dig 258695
dig 258691
dig 938280
dig 938296
dig 745502
dig 632162
dig 576156
open 946404
dig 519745
dig 284818
dig 692660
open 284818
dig 1015331
dig 1015332
dig 284830
dig 1015333
open 632162
dig 988450
open 988450
dig 632171
dig 46948
dig 988451
open 988451
dig 632170
dig 988452
open 988452
dig 988453
open 988453
dig 988454
open 988454
dig 453974
dig 632169
dig 632177
dig 784124
dig 784121
open 926024
dig 703354
dig 161923
dig 145964
dig 145932
open 1047061
dig 45732
dig 546547
dig 117037
open 117037
dig 117029
dig 117021
dig 45723
dig 891283
dig 926059
open 891283
dig 926077
dig 519751
dig 519772
dig 578518
dig 578534
dig 159742
open 519745
dig 859104
dig 576867
dig 576853
dig 264692
dig 650174
dig 453987
dig 454003
open 454003
dig 454014
dig 454000
dig 453997
dig 546554
dig 1008794
dig 453972
open 1008794
dig 998430
open 998430
dig 686628
open 686628
open 576156
dig 730787
dig 170049
open 960149
dig 170050
dig 6197
open 6197
dig 973292
dig 346842
open 973292
dig 973298
dig 238755
dig 238762
dig 170051
dig 238739
dig 238720
dig 170052
open 45723
dig 429091
dig 578595
dig 578596
dig 578603
open 578596
dig 578597
dig 801850
dig 801797
dig 223709
open 223709
dig 1028486
dig 45722
dig 81598
open 45722
dig 45713
dig 45707
dig 548323
dig 548324
dig 548307
dig 548339
dig 607766
dig 607781
open 607766
dig 607787
dig 607778
dig 211578
dig 973280
dig 1048492
dig 821025
dig 562403
dig 562396
dig 376290
open 376290
dig 1013496
dig 1013503
dig 812867
dig 1013474
open 812867
dig 869522
dig 1013473
open 869522
dig 643430
dig 518430
dig 6190
dig 1045174
dig 1045157
dig 330050
dig 421888
dig 421889
open 330050
dig 976029
dig 674773
dig 1048173
dig 330087
dig 1045173
dig 1045181
dig 1048169
dig 112955
dig 1048158
dig 1048156
dig 951060
dig 1048172
dig 741195
open 429091
dig 429092
open 741195
dig 31516
dig 777691
dig 239411
dig 709726
dig 709730
dig 319067
dig 635113
dig 821047
dig 635115
dig 560225
dig 560241
dig 560227
dig 635092
dig 560243
dig 560251
dig 560234
dig 884193
dig 560217
open 560225
dig 503206
dig 503205
dig 660906
dig 660899
dig 191202
dig 841757
dig 32993
open 32993
dig 365354
open 365354
dig 7387
dig 720908
open 7387
dig 365347
dig 841759
dig 951069
dig 48339
dig 951040
dig 951091
dig 951084
dig 951095
open 951095
dig 764477
dig 238723
dig 238721
dig 238722
dig 238726
dig 238745
dig 607772
dig 607780
dig 607779
dig 607790
dig 607774
dig 467222
dig 31531
dig 528466
dig 607773
dig 32962
dig 904411
open 238756
open 238721
dig 637196
open 238755
open 238722
open 238723
open 238745
dig 696868
open 696868
dig 322129
dig 322162
open 238726
open 238739
dig 238781
open 703354
dig 703356
dig 880341
dig 880353
dig 715060
dig 715050
dig 954812
dig 715046
open 954812
dig 715034
dig 880357
dig 715036
dig 880350
dig 715049
dig 880361
dig 939749
dig 715044
dig 939740
dig 939746
dig 939755
dig 880381
open 715049
open 715050
open 715044
open 715046
open 715034
dig 904384
dig 512292
dig 346977
dig 431146
open 821047
dig 951062
dig 12
dig 21
open 512292
dig 166043
dig 512290
dig 512295
dig 637203
dig 775971
dig 799278
dig 431159
open 939749
dig 471830
dig 512282
dig 512284
dig 512276
dig 1037155
dig 44088
open 44088
dig 238766
dig 238759
open 431159
dig 799425
open 238766
open 799425
dig 512298
dig 737772
open 709730
dig 404979
dig 11507
dig 350271
dig 552294
dig 350269
dig 350247
dig 552286
dig 350215
dig 350214
dig 764507
open 552294
dig 350230
open 764507
dig 350226
dig 350260
open 350226
open 350230
open 350247
open 350260
open 350269
dig 350218
open 350218
dig 605462
open 605462
dig 489181
dig 489182
dig 782197
open 782197
open 362104
dig 1004059
dig 1004058
dig 1004083
dig 1004077
dig 782187
dig 1004065
dig 1004060
dig 954804
dig 954786
dig 954770
dig 954768
dig 781484
dig 954789
dig 954761
dig 888867
dig 888875
dig 888876
dig 888870
open 888867
dig 404980
dig 404987
dig 571253
dig 404982
dig 404947
open 571253
dig 404948
dig 877115
dig 911204
dig 911212
open 877115
dig 978646
dig 201617
open 201617
dig 781493
dig 60328
dig 60350
dig 60351
dig 60291
dig 60344
dig 60343
dig 60342
dig 60348
dig 60349
dig 60330
dig 60346
dig 60327
dig 60323
dig 60345
dig 60320
dig 60319
dig 60292
dig 60317
dig 60315
dig 60312
dig 60311
dig 60310
dig 60288
dig 60305
dig 60341
dig 60296
dig 60295
dig 60340
dig 60290
dig 60339
dig 60338
dig 60337
dig 60313
dig 60336
dig 60335
dig 60334
dig 60289
dig 60322
dig 60297
dig 60302
dig 60332
dig 60299
dig 60331
dig 60301
dig 60298
dig 60333
dig 60347
dig 60293
dig 60329
dig 60307
dig 60318
dig 60294
dig 60300
dig 60304
dig 60309
dig 60308
dig 60326
dig 60303
dig 60316
dig 60325
dig 60314
dig 60324
dig 60306
dig 60321
open 60332
open 60306
open 60321
open 60291
open 60326
open 60308
open 60314
open 60331
open 60316
open 60302
open 60303
open 60313
open 60337
open 60344
open 60339
open 60305
open 60288
open 60328
open 60317
open 60304
open 60348
open 60300
open 60351
open 60294
open 60307
open 60296
open 60293
open 60330
open 60320
open 60298
open 60301
open 60345
open 60346
open 60333
open 60325
open 60343
open 60299
open 60312
open 60338
open 60342
open 60323
open 60292
open 60310
open 60311
open 60297
open 60290
open 60295
open 60315
open 60336
dig 543723
dig 782182
dig 782203
dig 782172
dig 646388
dig 646366
dig 646389
dig 646362
dig 646396
dig 880291
dig 155076
dig 571267
dig 155108
dig 458556
open 737772
dig 155113
dig 458549
open 458549
open 155113
open 646389
open 646362
dig 155133
open 1048169
open 1048172
dig 1047006
dig 82902
open 1048173
dig 82916
dig 962771
dig 119909
dig 400846
open 119909
dig 289866
open 289866
dig 166965
dig 828800
dig 166936
dig 571324
open 571324
dig 805475
dig 1
dig 3
dig 22
open 3
dig 201812
open 201812
dig 201842
dig 317868
dig 181531
open 181531
dig 799187
dig 58581
dig 80115
open 201842
dig 80092
dig 80099
open 11507
open 202822
open 202821
dig 898666
