1d208aa53437336cb2b487f67876b80064aa99fbedc80582b81b1e671bcb5089
salt 60817424b25bb257cf3ff0cf824b630c
dig 956187
dig 486347
dig 1002364
open 1002364
open 486347
dig 559795
dig 559786
dig 441344
open 559786
dig 969202
open 969202
open 956187
dig 538980
dig 115235
open 115235
dig 780656
dig 377526
dig 377535
dig 377527
dig 377534
dig 644195
dig 1028010
dig 817997
dig 974077
dig 974036
dig 974038
dig 974023
dig 974071
dig 115220
dig 1031844
dig 368661
dig 750164
dig 108246
dig 644223
open 644223
dig 361259
open 361259
dig 129545
dig 750182
open 129545
dig 129585
dig 129566
open 129566
dig 129587
open 129587
dig 129548
open 129548
dig 129570
dig 959103
open 129570
dig 911124
dig 206400
dig 433240
dig 361260
open 361260
dig 564469
open 564469
dig 873500
dig 194459
dig 108270
dig 108268
dig 345628
dig 345620
dig 345627
dig 231207
dig 251156
open 251156
dig 1002336
dig 194469
dig 134822
dig 368665
dig 368679
dig 376068
dig 559777
dig 810537
open 559777
dig 251170
dig 703921
dig 340067
dig 357564
open 357564
dig 1002341
dig 109083
dig 109091
dig 361250
dig 361244
dig 361242
dig 315310
open 315310
dig 315297
dig 194478
dig 1028017
dig 315285
open 315285
dig 315292
dig 189752
dig 422834
open 422834
dig 137663
dig 137635
dig 306837
dig 357538
dig 137643
dig 357565
dig 357567
dig 272637
dig 664029
dig 189742
open 664029
dig 357566
dig 721296
dig 721305
dig 357534
open 115220
dig 724333
dig 724323
dig 573229
open 134822
dig 61147
dig 61149
dig 137645
dig 137636
dig 61170
dig 504669
dig 61177
dig 618924
dig 618927
dig 684391
open 684391
dig 664027
dig 684390
open 684390
dig 684389
open 684389
dig 684388
dig 684387
open 684387
dig 684386
dig 684385
open 684385
dig 684384
dig 684379
dig 152155
dig 152157
dig 498945
dig 618929
dig 130396
dig 384405
dig 384410
dig 277172
dig 818002
dig 361251
dig 98254
dig 98251
dig 98285
dig 98280
dig 98257
dig 98302
dig 920420
dig 920409
dig 920398
dig 920442
dig 920430
dig 920403
dig 920426
dig 911132
dig 306862
dig 306857
dig 989429
dig 96186
dig 356827
dig 356845
dig 356849
dig 356822
dig 356836
dig 531294
dig 531309
dig 356835
dig 531307
dig 531322
dig 531283
dig 531267
dig 214210
open 531294
open 214210
dig 236660
dig 790052
dig 790053
dig 790045
dig 790044
open 790044
dig 621325
dig 621318
dig 635765
dig 2
dig 348560
dig 966565
dig 134828
open 98285
dig 788545
open 788545
dig 788553
dig 788546
dig 788547
dig 306834
dig 873492
dig 965932
open 965932
dig 881130
dig 881110
dig 881115
dig 93396
dig 569436
dig 569444
dig 214218
dig 604732
dig 604724
dig 488947
dig 1025001
dig 1025014
dig 1024987
dig 1025011
dig 71346
dig 93428
dig 93427
dig 203419
dig 976436
